,Price,Age,Odometer,mileage,engineCC,powerBhp,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,FuelType_Diesel,FuelType_Electric,FuelType_LPG,FuelType_Petrol,Transmission_Manual,OwnerType_Fourth +ACY- Above,OwnerType_Second,OwnerType_Third
22,23.5,5,55985,13.53,1984.0,177.01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,1.87,10,45807,18.5,1197.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24,2.85,10,33000,14.4,1598.0,103.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,4.25,8,51920,16.8,1497.0,116.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
26,4.25,8,54000,23.08,1461.0,63.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
27,2.75,7,54000,20.92,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
28,9.9,2,37430,17.5,1199.0,88.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29,4.0,13,262000,12.8,2494.0,102.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
30,7.75,7,62000,19.01,1461.0,108.45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31,6.75,8,87615,14.53,1798.0,138.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32,12.5,7,72000,11.18,2696.0,184.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33,11.5,10,35000,12.4,2698.0,179.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34,6.98,6,55431,16.09,1598.0,103.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
35,1.85,11,83816,14.0,1061.0,64.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
36,8.63,2,50075,24.3,1248.0,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
37,4.85,3,52000,18.15,1198.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
38,28.0,7,85000,11.74,2987.0,254.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39,5.0,7,62000,22.07,1199.0,73.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,1.25,12,90000,19.7,796.0,46.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
41,1.53,6,19698,25.4,624.0,37.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
42,5.58,3,22033,25.32,1198.0,77.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,4.74,6,35487,18.5,1197.0,82.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
44,8.85,6,46374,14.62,1999.0,149.92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,10.11,4,52001,14.28,1798.0,138.03,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46,4.25,12,58005,14.9,1991.0,112.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
47,10.95,8,70704,11.25,2694.0,163.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
48,3.85,6,75000,24.4,1120.0,71.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
49,5.5,8,75800,16.55,2498.0,105.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
50,21.43,5,13648,17.11,1968.0,174.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
51,4.25,6,52000,22.9,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
52,3.3,6,53000,17.8,1248.0,75.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
53,3.85,7,65650,28.4,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54,3.6,5,54000,18.9,1197.0,82.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
55,3.99,5,39000,15.04,1598.0,103.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
56,3.3,3,16542,25.17,799.0,53.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
57,2.07,10,32000,20.36,1197.0,78.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
58,7.75,10,121812,13.29,1995.0,147.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2.25,10,39300,18.2,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
60,16.5,3,22000,13.68,2393.0,147.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
61,2.75,10,72000,20.0,1399.0,68.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
62,26.7,5,58000,11.74,1796.0,186.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,10.0,9,65000,15.8,2148.0,170.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
64,2.5,4,178000,25.0,1396.0,69.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
65,13.5,8,65664,16.55,1968.0,140.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66,1.85,13,63000,16.4,1497.0,78.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
67,35.67,1,15369,16.4,1950.0,194.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,8.15,4,63000,24.52,1248.0,88.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
69,10.5,2,13000,22.1,1396.0,88.7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
70,14.5,12,73000,8.5,4806.0,500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
71,9.65,5,55729,15.1,2179.0,140.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
72,3.48,8,45178,16.95,1197.0,78.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
73,6.92,5,56066,19.64,1461.0,108.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
74,6.46,4,37300,16.5,1198.0,86.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
75,29.5,6,56000,18.53,1968.0,187.74,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76,2.0,12,111111,17.8,1399.0,74.27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
77,4.5,14,230000,12.4,1998.0,132.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
78,11.75,8,104000,12.8,2494.0,102.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
79,1.3,15,87591,17.2,1086.0,62.28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
80,3.75,8,95100,22.9,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
81,4.5,3,70000,17.57,1193.0,88.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
82,4.82,4,54944,18.0,1198.0,86.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
83,2.8,8,70337,20.0,1399.0,68.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
84,3.11,7,99638,23.2,1248.0,73.94,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
85,3.25,11,52000,17.8,1497.0,117.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
86,13.9,9,75000,16.73,1995.0,218.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87,2.25,11,95980,20.36,1197.0,78.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
88,5.75,4,16000,18.9,1197.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
89,2.1,13,73745,17.0,1086.0,62.28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
90,5.0,4,18949,17.8,1198.0,86.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
91,16.5,6,107000,13.0,2982.0,168.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
92,39.58,2,48367,17.68,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,5.5,7,57000,22.7,1498.0,89.84,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
94,8.1,6,58000,15.1,2179.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
95,3.5,5,30000,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
96,2.79,7,34212,22.07,1199.0,73.9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
97,3.45,10,70002,16.2,1493.0,110.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,4.45,4,62000,18.9,998.0,67.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
99,2.65,10,62001,15.26,1598.0,103.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
100,3.8,9,78958,23.0,1396.0,90.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
101,4.65,6,30180,18.5,1197.0,82.85,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
102,3.95,3,32851,19.83,1198.0,67.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
103,9.8,10,30000,14.94,2967.0,241.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
104,2.7,11,66000,17.0,1197.0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
105,2.41,10,93850,14.0,796.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
106,3.9,6,53000,17.71,1197.0,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107,24.0,9,78000,14.74,2993.0,270.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
108,5.75,8,65000,16.0,2179.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
109,5.25,6,40000,22.32,1582.0,126.32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
110,19.25,3,30000,11.36,2755.0,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
111,3.91,3,38053,15.1,1196.0,73.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
112,2.15,6,25500,25.4,624.0,37.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113,20.75,5,56087,22.69,1995.0,190.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
114,3.35,10,71088,13.5,1799.0,130.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
115,11.11,6,55000,12.99,2494.0,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
116,20.0,6,32700,23.3,1984.0,150.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,6.55,4,39882,19.15,1198.0,75.94,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,7.0,11,128000,10.8,2497.0,215.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
119,7.5,4,55000,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
120,0.85,15,102000,17.0,1086.0,62.28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
121,16.75,6,53753,15.0,2143.0,107.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
122,10.95,2,10250,22.0,1582.0,126.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
123,2.45,9,43874,18.9,998.0,67.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
124,3.23,3,32684,21.9,624.0,37.48,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,7.75,6,42000,12.05,2179.0,120.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
126,9.35,11,28352,11.7,1796.0,178.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
127,3.25,7,89900,26.6,998.0,58.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
128,5.25,13,47700,10.8,2354.0,152.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
129,7.25,5,55000,21.21,1498.0,103.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
130,7.47,3,44285,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
131,13.25,4,54000,16.0,2179.0,140.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
132,5.81,4,30232,21.1,1197.0,85.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
133,2.6,6,88500,24.07,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
134,54.0,3,13372,19.0,2996.0,362.07,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
135,11.5,1,12645,17.0,1591.0,121.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
136,1.6,10,94385,19.7,796.0,46.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
137,17.22,5,31821,20.58,1995.0,143.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,6.0,5,12000,19.0,1199.0,88.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
139,3.95,8,88578,13.5,1799.0,130.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
140,17.95,6,44965,19.27,2143.0,170.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
141,3.7,6,45044,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
142,5.43,4,34204,22.0,1197.0,81.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
143,1.67,12,80759,17.0,1086.0,62.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
144,13.49,8,91235,11.5,2982.0,171.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
145,2.85,6,38800,18.6,1199.0,76.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
146,4.75,7,83000,21.14,1498.0,103.52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
147,9.9,2,41283,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
148,37.0,7,23000,11.05,2894.0,444.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
149,26.5,6,48000,21.76,1995.0,190.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
150,23.32,5,48214,17.11,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,6.25,4,35000,22.9,1248.0,74.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
152,30.0,10,35277,7.81,5461.0,362.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
153,9.86,4,54620,21.66,1498.0,103.52,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,8.5,8,136997,17.2,1968.0,138.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
155,4.23,1,14322,21.1,814.0,55.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
156,3.5,8,65634,22.07,1199.0,73.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
157,2.5,4,6000,20.63,1198.0,67.06,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
158,2.39,7,33280,19.4,1198.0,86.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
159,11.25,7,29000,14.8,1595.0,120.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,7.11,5,42831,26.0,1498.0,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
161,10.9,4,90000,12.99,2494.0,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
162,6.2,3,24005,20.4,1197.0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
163,7.9,8,32792,15.1,2179.0,140.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
164,4.42,6,147898,22.7,1498.0,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
165,13.5,8,131765,13.0,2982.0,168.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
166,6.25,7,65000,21.5,1498.0,108.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,2.1,10,66123,20.0,1399.0,68.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
168,45.0,5,41000,15.3,2993.0,258.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
169,33.66,3,23550,19.27,2143.0,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,3.65,8,45000,19.4,1198.0,86.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
171,2.75,7,60000,20.36,1197.0,78.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
172,42.5,4,44414,17.9,2143.0,170.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,6.5,1,1000,18.9,1197.0,81.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
174,19.0,8,62500,17.68,1968.0,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
175,4.45,7,21000,14.4,1598.0,103.6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
176,23.0,3,8525,16.6,1998.0,112.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
177,8.35,6,29000,22.54,1396.0,88.73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
178,22.95,6,40000,17.68,1968.0,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
179,1.5,8,88000,25.44,936.0,57.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
180,6.89,8,53537,13.7,1798.0,157.75,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
181,1.45,14,216000,17.8,1399.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
182,33.5,6,51000,22.48,1995.0,190.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
183,1.25,13,118500,12.9,1598.0,102.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
184,4.2,8,63000,22.07,1199.0,73.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
185,6.75,5,25000,19.98,1461.0,108.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
186,32.0,6,37382,13.0,2143.0,201.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,7.5,3,24773,21.4,1197.0,83.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
188,4.6,8,62000,22.32,1582.0,126.32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
189,4.04,3,52340,19.81,1086.0,68.05,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
190,10.31,4,56739,15.4,1997.0,120.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
191,55.76,2,36091,12.7,2179.0,187.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,2.6,10,120000,20.0,1399.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
193,8.5,4,33000,25.47,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
194,2.95,13,60006,18.42,1494.72,110.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
195,3.5,6,52000,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
196,3.55,5,43571,20.36,1197.0,78.9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
197,3.25,7,50000,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
198,4.5,12,113000,17.5,1896.0,106.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
199,5.35,6,90000,19.87,1461.0,83.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
200,6.5,3,29000,17.45,1493.0,100.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
201,9.0,4,20000,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
202,6.0,4,61012,18.6,1197.0,81.83,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
203,2.75,11,87459,14.7,1390.0,85.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
204,1.5,10,70500,15.64,1193.0,64.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
205,19.9,5,64103,15.73,1968.0,174.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,10.0,6,76000,14.7,1798.0,177.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
207,3.0,6,104000,23.59,1364.0,67.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
208,2.11,10,42001,16.1,1240.47,77.88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
209,11.96,6,37245,14.8,1595.0,120.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
210,3.25,7,45000,27.4,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
211,4.75,8,117837,22.32,1582.0,126.32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
212,5.95,6,30000,20.46,1461.0,83.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
213,8.15,5,27057,15.29,1591.0,121.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
214,4.22,4,8500,20.51,998.0,67.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
215,10.5,10,30500,11.74,1796.0,186.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
216,45.0,8,56000,11.8,2967.0,246.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,2.9,8,44000,19.81,1086.0,68.05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
218,8.9,3,10500,14.3,1598.0,103.52,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
219,26.0,3,26000,14.67,1798.0,177.46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
220,8.22,2,25166,17.19,1197.0,81.86,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
221,3.5,6,64000,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
222,1.25,16,61000,18.9,998.0,67.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
223,3.7,7,107000,21.03,1461.0,65.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
224,39.41,2,29161,19.27,2143.0,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,2.65,7,32000,22.5,998.0,67.04,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
226,8.92,5,46173,19.01,1461.0,108.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
